코드,원료명,공급사,단가,원산지,포장단위,분류,기능성,규격,비고
SRC21-0236,블루베리추출분말,(미지정),15000,,20,일반식품,N,해찬솔푸드,
SRC21-0237,블루스피루리나(일반분말),(미지정),180000,프랑스,25,일반식품,N,,
SRC21-0238,비오틴/g,(미지정),2000,중국,,일반식품,N,100%,포장원문: g단위
SRC21-0239,비오틴/g,(미지정),13000,프랑스,,일반식품,N,서호상사,포장원문: g단위
SRC21-0240,비타민B복합분말,(미지정),180000,,10,일반식품,N,,
SRC21-0241,비타민C,(미지정),7500,중국,25,일반식품,N,,
SRC21-0242,비타민C(중성),(미지정),70000,미국,,일반식품,N,,
SRC21-0243,비타민C(리포조말),(미지정),150000,,,일반식품,N,김부사장,일자원문: 70%
SRC21-0244,비타민C(리포조말),(미지정),170000,미국,,일반식품,N,단톡방(박대표),일자원문: 70%
SRC21-0245,비타민미네랄믹스Fs,(미지정),108000,,,일반식품,N,남양,규격원문: 20kg
SRC21-0246,비타민미네랄믹스Fs,(미지정),30000,,10,일반식품,N,하이베이스,
SRC21-0248,빌베리추출물,(미지정),77000,폴란드,5,일반식품,N,유기농,
SRC21-0249,빌베리추출물,(미지정),950000,인도,,일반식품,N,안토시안25%이상,; / 포장원문: 건식
SRC21-0251,사과농축액,(미지정),4400,,25,일반식품,N,,
SRC21-0252,사과농축액,(미지정),5700,,20,일반식품,N,,
SRC21-0253,사과산,(미지정),6000,,,일반식품,N,,
SRC21-0254,사과농축분말(풋),(미지정),14000,,20,일반식품,N,해찬솔푸드,
SRC21-0255,사과농축분말(청),(미지정),15000,,,일반식품,N,새롬비앤에프,
SRC21-0256,사과추출분말(청(풋)),(미지정),19000,중국,25,일반식품,N,하이베이스,
SRC21-0257,사과초모식초분말,(미지정),32000,,,일반식품,N,사과100%(70%+덱스트린),
SRC21-0258,사균체(포스트바이오틱스),(미지정),60000,,,일반식품,N,락토바실러스플란타럼배양건조물,규격원문: 10억cell/g
SRC21-0259,사균체(포스트바이오틱스),(미지정),2000000,일본,1,일반식품,N,엔테르코커스페칼리스,
SRC21-0260,산사자추출분말,(미지정),19000,중국,20,일반식품,N,,
SRC21-0262,산수유추출분말,(미지정),25000,,,일반식품,N,해찬솔푸드,
SRC21-0263,산수유추출분말',(미지정),35000,,,일반식품,N,새롬비앤에프,
SRC21-0264,산양유분말,(미지정),30000,네덜란드,15,일반식품,N,,
SRC21-0265,상어연골,(미지정),48000,호주,,일반식품,N,하이베이스,
SRC21-0266,상어연골,(미지정),35000,중국,,일반식품,N,하이베이스,
SRC21-0267,상어연골분말,(미지정),48000,,20,일반식품,N,일본에이치앤비,
SRC21-0269,상어연골분말,(미지정),95000,미국,,일반식품,N,황산콘드로이친함량20%(하이베이스),
SRC21-0270,상어연골추출분말,(미지정),75000,중국,,일반식품,N,뮤코다당단백(건기식)(하이베이스)(,
SRC21-0271,상어추출분말(철갑),(미지정),210000,덴마크,,일반식품,N,엠바이오텍(건기식원료)(주원료안됨),
SRC21-0272,상추분말,(미지정),25000,국산,30,일반식품,N,,
SRC21-0273,새싹보리추출분말,(미지정),29000,국산,,일반식품,N,,
SRC21-0274,샤인머스캣추출분말,(미지정),25000,,,일반식품,N,새롬비앤에프,
SRC21-0275,샤인머스캣향분말,(미지정),22000,국산,20,일반식품,N,하이베이스,
SRC21-0276,샤인머스캣향분말,(미지정),30000,,,일반식품,N,해찬솔푸드,
SRC21-0277,서양꿀,(미지정),5000,,,일반식품,N,,
SRC21-0278,서양산사자추출분발,(미지정),70000,이탈리아,25,일반식품,N,,
SRC21-0279,석류농축액,(미지정),11000,이란,,일반식품,N,,
SRC21-0280,석류농축액,(미지정),8000,스페인,,일반식품,N,,
SRC21-0282,석류농축액(유기농),(미지정),7500,터키,,일반식품,N,,
SRC21-0283,석류추출분말,(미지정),15000,이란,,일반식품,N,해찬솔,
SRC21-0285,석류추출분말,(미지정),24000,이란,20,일반식품,N,하이베이스,
SRC21-0286,석류향분말,(미지정),24000,,,일반식품,N,,
SRC21-0287,세븐베리농축액분말,(미지정),34000,수입,20,일반식품,N,하이베이스,
SRC21-0288,세븐베리추출분말,(미지정),25000,,20,일반식품,N,해찬솔푸드,규격원문: 혼합
SRC21-0289,세인트존스워트추출분말,(미지정),220000,,5,일반식품,N,,
SRC21-0290,소연골콘드로이친황산염,(미지정),135000,인도,,일반식품,N,황산콘드로이친함량25%(하이베이스),
SRC21-0291,소연골콘드로이친황산염,(미지정),160000,인도,25,일반식품,N,정제 600mg 분말1200mg  하이베이스(53.8%),
SRC21-0292,쇠뜨기추출분말,(미지정),42000,,20,일반식품,N,태성,
SRC21-0293,수박과피추출분말,(미지정),99000,,10,일반식품,N,,
