excelId,원료명,복구내역
523,토코페롤(포도씨유),"company→origin(""스페인"")"
524,트리불러스,"company→origin(""인도산"")"
525,트립토판,"company→origin(""중국산"")"
526,트립토판,"company→origin(""미국"")"
527,트립토판,"company→origin(""일본"")"
529,판크레아틴,"company→origin(""중국"")"
530,판토텐산칼슘,"company→origin(""영국"")"
532,포도씨오일,"company→origin(""스페인"")"
533,포도씨유,"company→origin(""스페인"")"
535,포도씨유추출물,"company→origin(""스웨덴"")"
537,포스파티딜세린분말,"company→origin(""미국"")"
538,포스파티딜세린분말,"company→origin(""인도산"")"
539,폴리감마글루탐산,"company→origin(""대만"")"
540,표고버섯균사체,"company→비고(규격값 ""건식원료"")"
542,프락토올리고당,"company→origin(""중국산"")"
544,프로테아제(파파인)(식물성),"company→origin(""한국"")"
545,프로폴리스,"company→origin(""호주"")"
546,프로폴리스,"company→origin(""브라질"")"
547,프롤린,"company→origin(""중국"")"
549,핑커루트추출물 일반식품,"company→origin(""중귝"")"
556,헛개나무열매농축액,"company→비고(규격값 ""60브릭스"")"
559,헛개나무일반분말,"company→origin(""국산"")"
560,헤마토코쿠스추출물,"company→origin(""독일"")"
561,헤마토코코스추출물,"company→origin(""중국산"")"
562,헴철,"company→origin(""덴마크"")"
563,헴철,"company→origin(""덴마크"")"
565,호로파추출분말,"company→origin(""중국"")"
566,혼합탈지분유,"company→packing(""25"")"
567,홉스 추출물분말,"company→origin(""독일"")"
568,홍경천추출물,"company→origin(""이태리"")"
569,홍국,"company→origin(""미국"")"
570,홍국,"company→origin(""인도"")"
575,홍삼엑기스(HCS-7130),"company→packing(""20"")"
576,홍차추출분말(얼그레이),"company→origin(""스리랑카"")"
577,홍차추출분말(우바),"company→origin(""스리랑카"")"
578,홍화씨분말,"company→origin(""국내산"")"
579,화이트토마토추출농축분말,"company→origin(""미국"")"
580,활성엽산,"company→origin(""이탈리아"")"
581,회화나무열매추출분말,"company→origin(""인도"")"
582,회화나무열매추출분말,"company→origin(""중국"")"
583,회화나무열매추출분말,"company→origin(""인도"")"
584,회화나무추출분말,"company→origin(""인도"")"
585,효모추출물(L-글루타치온50%),"company→origin(""중국"")"
591,후코이단,"company→origin(""중국"")"
592,후코이단(혜원),"company→origin(""국산"")"
595,흰강낭콩추출분말,"company→origin(""캐나다"")"
596,흰강낭콩추출분말,"company→origin(""인도"")"
597,히비스커스추출분말,"company→origin(""독일"")"
598,히알루론산,"company→origin(""미국"")"
599,히알루론산,"company→origin(""미국"")"
600,히알루론산,"company→origin(""중국산"")"
601,히알루론산혼합제제,"company 무의미값 제거(""최준호과장"")"
602,흰점박이꽃무지(굼뱅이)건조 분말,"company→origin(""한국"")"
603,흰점박이꽃무지(굼뱅이)건조 분말,"company→origin(""한국"")"
604,L-라이신,"company→origin(""중국"")"
605,L-로이신,"company→origin(""중국산"")"
606,L-메티오닌,"company→origin(""중국"")"
608,L-시스틴,"company→origin(""한국"")"
609,L-아스파라긴분말,"company→origin(""중국"")"
610,L-이소로이신,"company→origin(""중국"")"
611,L-트레오닌,"company→origin(""중국"")"
613,L-페닐알라닌,"company→origin(""중국"")"
615,글루타민,"company→origin(""중국"")"
616,글리신,"company→origin(""한국"")"
617,발린,"company→origin(""중국"")"
618,베타알라닌,"company의 원산지값 폐기(""중국"", origin에 이미 ""중국"")"
619,분리대두단백질,"company→origin(""미국"")"
620,분리대두단백질,"company→origin(""인도산"")"
621,분리대두단백질,"company→origin(""싱가포르"")"
622,분리우유단백질,"company→origin(""덴마크"")"
623,분리유단백질(MPI),"company→origin(""프랑스"")"
625,산양유단백분말,"company→origin(""네덜란드"")"
626,유청농축단백질(WPC),"company→origin(""미국"")"
627,유청분리단백질(WPI),"company→origin(""미국"")"
628,유청분리단백질(WPI),"company→origin(""네덜란드"")"
629,가수분해유청단백(WPH),"company→origin(""미국"")"
630,초유단백분말,"company→origin(""네덜란드"")"
633,트립토판,"company→origin(""미국"")"
634,트립토판,"company→origin(""일본"")"
635,프롤린,"company→origin(""중국"")"
636,히스티딘,"company→origin(""중국"")"
637,20야채혼합농축분말,"company→비고(규격값 ""HCS-5180"")"
638,27종과일야채혼합농축분말,"company→비고(규격값 ""HCS-7799"")"
639,가시오가피추출분말,"company→origin(""한국"")"
640,가자추출물,"company→origin(""호주"")"
642,갈근분말,"company→origin(""중국산"")"
643,갈근분말,"company→origin(""중국산"")"
645,감초분말,"company→origin(""우주베키스탄"")"
646,건강추출물,"company→origin(""중국"")"
648,결명자분말,"company→origin(""중국산"")"
649,결명자분말,"company→origin(""인도"")"
650,계피추출분말,"company→origin(""베트남"")"
651,계피추출분말,"company→origin(""베트남"")"
653,곽향추출분말,"company→origin(""중국"")"
654,구기자농축액,"company→origin(""국산"")"
658,구기자추출분말,"company의 숫자값 폐기(""1"")"
661,그린커피빈추출분말,"company→origin(""인도"")"
662,녹각추출분말,"company→origin(""수입"")"
663,녹차분말,"company→origin(""국산"")"
664,녹차분말,"company→origin(""국산"")"
666,다시마분말,"company→origin(""국산"")"
667,단삼분말,"company→origin(""중국"")"
668,단삼분말,"company→origin(""중국"")"
671,대추농축액,"company→origin(""국산"")"
672,대추야자추출분말,"company→origin(""이란"")"
673,더덕분말,"company→origin(""국산"")"
676,두충분말,"company→origin(""한국"")"
