미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
"유산균(고초균,당화균)(subtillus)",55000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(국내산구강유산균),1200000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(낙산균)(글스트리움부틸리콤미야이리2),600000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(다니스코),650000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(당화균),45000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(대만산구강유산균),1500000,대만,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(디글루GLU70),120000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(디글루MB0601),120000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(락토바실러스 애시도 필루스),290000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(락토바실러스 카제이),500000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(락토바실러스코오귤런스),470000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(락토바실러스파라카제이),1500000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(락토바실러스플란타룸),490000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(루테리),400000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(루테리)(엘2),140000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(미야리균)(낙산균),500000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(보울라디유산균),280000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
